,score,time_this_iter_s,done,training_iteration,trial_id,date,timestamp,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,config/down_HL,config/groups,config/kernel_size,config/latent_dim,config/num_CL,config/num_HL,config/opt_lr,config/size_CL,config/size_HL,logdir
25,-18.339137651802588,1.7733218669891355,True,1,298ae851,2023-09-20_12-29-17,1695212957,1.7733218669891355,220318,84233402a856,172.17.0.2,1.7733218669891355,1,9,1,3,6,7,4,0.00023702812712274565,17,20,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_298ae851_26_down_HL=9,groups=1,kernel_size=3,latent_dim=6,num_CL=7,num_HL=4,opt_lr=0.0002,size_CL=17,size_HL_2023-09-20_12-29-14"
26,-15.338620112719935,1.243417739868164,True,1,58a46ac0,2023-09-20_12-29-19,1695212959,1.243417739868164,220318,84233402a856,172.17.0.2,1.243417739868164,1,19,1,2,15,6,8,4.0077500937307486e-05,31,64,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_58a46ac0_27_down_HL=19,groups=1,kernel_size=2,latent_dim=15,num_CL=6,num_HL=8,opt_lr=0.0000,size_CL=31,size__2023-09-20_12-29-16"
27,-12.465897672479102,1.205399990081787,True,1,bfd8530d,2023-09-20_12-29-20,1695212960,1.205399990081787,220318,84233402a856,172.17.0.2,1.205399990081787,1,1,1,4,9,4,5,1.4296288067098482e-05,9,99,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_bfd8530d_28_down_HL=1,groups=1,kernel_size=4,latent_dim=9,num_CL=4,num_HL=5,opt_lr=0.0000,size_CL=9,size_HL=_2023-09-20_12-29-18"
28,-16.184374418985954,1.5154719352722168,True,1,4068bd46,2023-09-20_12-29-22,1695212962,1.5154719352722168,220318,84233402a856,172.17.0.2,1.5154719352722168,1,6,1,9,7,8,3,1.58196989244046e-05,19,52,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_4068bd46_29_down_HL=6,groups=1,kernel_size=9,latent_dim=7,num_CL=8,num_HL=3,opt_lr=0.0000,size_CL=19,size_HL_2023-09-20_12-29-19"
29,-10.40837256036781,1.5913865566253662,False,1,55a00393,2023-09-20_12-29-24,1695212964,1.5913865566253662,220318,84233402a856,172.17.0.2,1.5913865566253662,1,4,1,3,13,5,4,2.9653049999296375e-05,4,128,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_55a00393_30_down_HL=4,groups=1,kernel_size=3,latent_dim=13,num_CL=5,num_HL=4,opt_lr=0.0000,size_CL=4,size_HL_2023-09-20_12-29-20"
30,0.6585294117647059,921.7944493293762,False,1,226e8a07,2023-09-20_12-44-46,1695213886,921.7944493293762,220318,84233402a856,172.17.0.2,921.7944493293762,1,0,1,4,4,6,7,0.0005486551905011972,13,21,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_226e8a07_31_down_HL=0,groups=1,kernel_size=4,latent_dim=4,num_CL=6,num_HL=7,opt_lr=0.0005,size_CL=13,size_HL_2023-09-20_12-29-22"
31,0.7382352941176471,1842.4007377624512,True,1,311f6711,2023-09-20_13-01-04,1695214864,1842.4007377624512,220581,84233402a856,172.17.0.2,1842.4007377624512,1,7,1,8,14,4,2,5.128447256611332e-05,23,127,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_311f6711_32_down_HL=7,groups=1,kernel_size=8,latent_dim=14,num_CL=4,num_HL=2,opt_lr=0.0001,size_CL=23,size_H_2023-09-20_12-29-24"
32,0.4617647058823529,1125.577998161316,False,1,52b2ff7d,2023-09-20_13-00-31,1695214831,1125.577998161316,215831,84233402a856,172.17.0.2,1125.577998161316,1,2,1,7,4,8,2,0.0006755348426750395,10,59,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_52b2ff7d_34_down_HL=2,groups=1,kernel_size=7,latent_dim=4,num_CL=8,num_HL=2,opt_lr=0.0007,size_CL=10,size_HL_2023-09-20_12-41-45"
33,0.7247058823529413,770.6025147438049,False,1,023f4ef8,2023-09-20_12-57-37,1695214657,770.6025147438049,220318,84233402a856,172.17.0.2,770.6025147438049,1,1,1,8,3,7,2,0.0009176170076542205,9,96,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_023f4ef8_35_down_HL=1,groups=1,kernel_size=8,latent_dim=3,num_CL=7,num_HL=2,opt_lr=0.0009,size_CL=9,size_HL=_2023-09-20_12-44-46"
34,-10.105101528760231,2.1582131385803223,False,1,af20a258,2023-09-20_13-00-34,1695214834,2.1582131385803223,215831,84233402a856,172.17.0.2,2.1582131385803223,1,3,2,8,11,8,3,0.0007229734177483884,5,96,"/home/darlinne.soto/ray_results/convtae_uci_percent25/my_objective_function_af20a258_37_down_HL=3,groups=2,kernel_size=8,latent_dim=11,num_CL=8,num_HL=3,opt_lr=0.0007,size_CL=5,size_HL_2023-09-20_13-00-31"
