,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
37,-0.1,-1,-1,1697637748,False,1,b7aa69de,2023-10-18_14-02-28,1.4670870304107666,1.4670870304107666,12646,ff5996df3739,172.17.0.2,1.4670870304107666,1,,256,6,6,143,76,9.234073749376956e-05,1.6086743353220166e-06,b7aa69de
38,-0.1,-1,-1,1697637750,False,1,89a85329,2023-10-18_14-02-30,1.6521310806274414,1.6521310806274414,12646,ff5996df3739,172.17.0.2,1.6521310806274414,1,,32,3,11,27,30,0.000148813069436315,4.5262191852554393e-07,89a85329
39,0.6252380952380954,-1,-1,1697638022,False,1,fa7b1efc,2023-10-18_14-07-02,271.96500277519226,271.96500277519226,12646,ff5996df3739,172.17.0.2,271.96500277519226,1,,32,2,15,102,151,0.000489018739198441,1.430062354775593e-07,fa7b1efc
40,-0.1,-1,-1,1697637768,False,1,c3b652a9,2023-10-18_14-02-48,2.034752130508423,2.034752130508423,13265,ff5996df3739,172.17.0.2,2.034752130508423,1,,64,6,11,191,271,5.02061115082349e-05,5.424099857298571e-06,c3b652a9
41,-0.1,-1,-1,1697637769,False,1,fdc32c78,2023-10-18_14-02-49,1.4199609756469727,1.4199609756469727,13265,ff5996df3739,172.17.0.2,1.4199609756469727,1,,256,4,9,225,104,1.627631482772798e-05,8.481880625566715e-06,fdc32c78
42,-0.1,-1,-1,1697637771,False,1,6c7f619c,2023-10-18_14-02-51,1.5279192924499512,1.5279192924499512,13265,ff5996df3739,172.17.0.2,1.5279192924499512,1,,64,7,17,118,166,1.3241568550790533e-05,4.756082359774581e-06,6c7f619c
43,-0.1,-1,-1,1697637772,False,1,86ef406b,2023-10-18_14-02-52,1.6441969871520996,1.6441969871520996,13265,ff5996df3739,172.17.0.2,1.6441969871520996,1,,256,4,8,319,313,1.021231875574593e-05,6.022142441846614e-06,86ef406b
44,-0.1,-1,-1,1697637777,False,1,2d8c1eb8,2023-10-18_14-02-57,1.5589087009429932,1.5589087009429932,13265,ff5996df3739,172.17.0.2,1.5589087009429932,1,,128,5,15,297,116,1.962179879566981e-05,6.110914270599693e-06,2d8c1eb8
45,-0.1,-1,-1,1697637778,False,1,dd53a408,2023-10-18_14-02-58,1.4614152908325195,1.4614152908325195,13265,ff5996df3739,172.17.0.2,1.4614152908325195,1,,64,7,17,48,185,3.108602509652146e-05,7.104888096520248e-06,dd53a408
46,-0.1,-1,-1,1697637784,False,1,a26cdd57,2023-10-18_14-03-04,1.422126054763794,1.422126054763794,13265,ff5996df3739,172.17.0.2,1.422126054763794,1,,64,6,18,76,206,3.83717519017078e-05,4.566759236213993e-06,a26cdd57
47,-0.1,-1,-1,1697637787,False,1,d4e2b04a,2023-10-18_14-03-07,1.5176258087158203,1.5176258087158203,13265,ff5996df3739,172.17.0.2,1.5176258087158203,1,,256,4,3,260,90,1.7289143837572427e-05,6.8510249237250086e-06,d4e2b04a
48,-0.1,-1,-1,1697637789,False,1,49d71c6a,2023-10-18_14-03-09,1.4448935985565186,1.4448935985565186,13265,ff5996df3739,172.17.0.2,1.4448935985565186,1,,128,8,18,97,256,3.879723830964721e-05,1.8108222443976946e-06,49d71c6a
49,-0.1,-1,-1,1697637795,False,1,e588511b,2023-10-18_14-03-15,1.489814043045044,1.489814043045044,13265,ff5996df3739,172.17.0.2,1.489814043045044,1,,256,4,4,262,72,5.178838698379921e-05,9.513861512515703e-06,e588511b
50,-0.1,-1,-1,1697637797,False,1,6a9a17c9,2023-10-18_14-03-17,1.5579650402069092,1.5579650402069092,13265,ff5996df3739,172.17.0.2,1.5579650402069092,1,,128,7,9,375,343,1.2070089681985586e-05,3.4672675952343995e-06,6a9a17c9
51,-0.1,-1,-1,1697637798,False,1,51a712aa,2023-10-18_14-03-18,1.512472152709961,1.512472152709961,13265,ff5996df3739,172.17.0.2,1.512472152709961,1,,128,8,6,293,300,1.3869893697568119e-05,2.5464321604476447e-06,51a712aa
52,-0.1,-1,-1,1697637800,False,1,b041bd68,2023-10-18_14-03-20,1.5774314403533936,1.5774314403533936,13265,ff5996df3739,172.17.0.2,1.5774314403533936,1,,64,6,16,129,180,0.0002901389623026697,3.972684395583087e-06,b041bd68
53,-0.1,-1,-1,1697637801,False,1,7698e3e6,2023-10-18_14-03-21,1.4370968341827393,1.4370968341827393,13265,ff5996df3739,172.17.0.2,1.4370968341827393,1,,64,7,16,139,238,0.00019143209576558278,5.800035073202227e-06,7698e3e6
54,-0.1,-1,-1,1697637803,False,1,ea0b7976,2023-10-18_14-03-23,1.4198687076568604,1.4198687076568604,13265,ff5996df3739,172.17.0.2,1.4198687076568604,1,,256,6,13,251,145,0.0001438522918828684,8.362545984418918e-06,ea0b7976
55,-0.1,-1,-1,1697637804,False,1,e61fae76,2023-10-18_14-03-24,1.485914945602417,1.485914945602417,13265,ff5996df3739,172.17.0.2,1.485914945602417,1,,256,5,7,182,129,0.00042841296985957766,7.514896704320305e-06,e61fae76
56,-0.1,-1,-1,1697637806,False,1,ea3b935b,2023-10-18_14-03-26,1.513092041015625,1.513092041015625,13265,ff5996df3739,172.17.0.2,1.513092041015625,1,,128,7,15,214,343,1.0187616827504702e-05,3.1135123256686635e-06,ea3b935b
57,-0.1,-1,-1,1697637807,False,1,d8b6e2b5,2023-10-18_14-03-27,1.50832200050354,1.50832200050354,13265,ff5996df3739,172.17.0.2,1.50832200050354,1,,128,8,13,221,287,8.476580575786866e-05,2.1513712199607024e-06,d8b6e2b5
58,-0.1,-1,-1,1697637809,False,1,66099d6f,2023-10-18_14-03-29,1.5735929012298584,1.5735929012298584,13265,ff5996df3739,172.17.0.2,1.5735929012298584,1,,64,8,14,82,257,0.0009330357214206094,5.599613978831499e-06,66099d6f
