,score,num_params,num_trainable_params,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir
82,-0.1,-1,-1,1697546058,False,1,9743e27e,2023-10-17_12-34-18,0.39037466049194336,0.39037466049194336,56338,1105bb7c0067,172.17.0.2,0.39037466049194336,1,,128,4,2,246,84,2.832787580308583e-05,6.953005791695689e-06,9743e27e
83,0.4859154929577465,-1,-1,1697546349,False,1,913bc81d,2023-10-17_12-39-09,291.22412848472595,291.22412848472595,56338,1105bb7c0067,172.17.0.2,291.22412848472595,1,,128,2,8,20,78,0.00015654534484959835,2.014227048547078e-06,913bc81d
84,-0.1,-1,-1,1697546065,False,1,0504d9c3,2023-10-17_12-34-25,0.3354225158691406,0.3354225158691406,55318,1105bb7c0067,172.17.0.2,0.3354225158691406,1,,64,3,5,43,164,1.5839454477214904e-05,8.881365368393359e-06,0504d9c3
85,0.5225352112676056,-1,-1,1697546161,False,1,a354f25d,2023-10-17_12-36-01,96.03409886360168,96.03409886360168,55318,1105bb7c0067,172.17.0.2,96.03409886360168,1,,64,2,6,121,185,0.0007855022510385166,8.33552750362459e-06,a354f25d
86,-0.1,-1,-1,1697546072,False,1,989b35a1,2023-10-17_12-34-32,1.0057053565979004,1.0057053565979004,56679,1105bb7c0067,172.17.0.2,1.0057053565979004,1,,64,7,5,166,148,0.0005870397696938134,8.933868137506556e-06,989b35a1
87,0.5793427230046948,-1,-1,1697546385,False,1,18196b96,2023-10-17_12-39-45,312.56595158576965,312.56595158576965,56679,1105bb7c0067,172.17.0.2,312.56595158576965,1,,64,2,3,144,110,0.00026059565967445175,9.44844372499059e-06,18196b96
88,0.5568075117370891,-1,-1,1697546230,False,1,4fad57a8,2023-10-17_12-37-10,137.38565349578857,137.38565349578857,56802,1105bb7c0067,172.17.0.2,137.38565349578857,1,,64,2,7,69,117,0.0003762961689311351,9.087426465166881e-06,4fad57a8
89,-0.1,-1,-1,1697546106,False,1,cef6532a,2023-10-17_12-35-06,1.1162827014923096,1.1162827014923096,56850,1105bb7c0067,172.17.0.2,1.1162827014923096,1,,32,6,7,154,63,1.14431985928978e-05,4.646040972967949e-06,cef6532a
90,-0.1,-1,-1,1697546106,False,1,afb0467c,2023-10-17_12-35-06,0.3717164993286133,0.3717164993286133,56850,1105bb7c0067,172.17.0.2,0.3717164993286133,1,,32,6,5,127,92,3.410021463959627e-05,9.989948326049546e-06,afb0467c
91,-0.1,-1,-1,1697546106,False,1,8180a165,2023-10-17_12-35-06,0.37125539779663086,0.37125539779663086,56850,1105bb7c0067,172.17.0.2,0.37125539779663086,1,,32,5,7,178,88,2.643604662971146e-05,6.969312030604555e-06,8180a165
92,-0.1,-1,-1,1697546108,False,1,cf3c6657,2023-10-17_12-35-08,0.4075298309326172,0.4075298309326172,56850,1105bb7c0067,172.17.0.2,0.4075298309326172,1,,64,5,9,204,132,2.189674178614986e-05,4.161859536250277e-06,cf3c6657
