,score,timestamp,done,training_iteration,trial_id,date,time_this_iter_s,time_total_s,pid,hostname,node_ip,time_since_restore,iterations_since_restore,checkpoint_dir_name,config/batch_size,config/num_HL,config/down_HL,config/size_HL,config/latent_dim,config/opt_lr,config/opt_wd,logdir,num_params,num_trainable_params
1328,0.6009389671361502,1697564482,False,1,921b4ebf,2023-10-17_17-41-22,2324.6072857379913,2324.6072857379913,4734,ff5996df3739,172.17.0.2,2324.6072857379913,1,,256,2,11,254,29,1.274138820297568e-05,3.518508653185896e-06,921b4ebf,,
1329,0.5650234741784038,1697564455,True,1,8b1ee07c,2023-10-17_17-40-55,2175.4188907146454,2175.4188907146454,5406,ff5996df3739,172.17.0.2,2175.4188907146454,1,,256,2,12,211,38,1.4678265537155824e-05,3.825834855734669e-06,8b1ee07c,,
1330,0.6220657276995305,1697565027,False,1,217679f9,2023-10-17_17-50-27,2638.183918237686,2638.183918237686,4067,ff5996df3739,172.17.0.2,2638.183918237686,1,,256,2,8,282,12,1.970782862598234e-05,4.335453865667118e-06,217679f9,,
1331,0.6596244131455399,1697565757,False,1,78332b02,2023-10-17_18-02-37,3006.78985786438,3006.78985786438,5364,ff5996df3739,172.17.0.2,3006.78985786438,1,,256,2,10,243,25,1.8304923931682887e-05,4.0382495436806735e-06,78332b02,,
1332,0.6009389671361502,1697565109,False,1,32aa0895,2023-10-17_17-51-49,2308.693343639374,2308.693343639374,5768,ff5996df3739,172.17.0.2,2308.693343639374,1,,256,2,11,310,32,1.2936221833447266e-05,3.114154826535711e-06,32aa0895,,
1333,0.6056338028169014,1697565462,False,1,922e64e1,2023-10-17_17-57-42,2395.284054517746,2395.284054517746,8312,ff5996df3739,172.17.0.2,2395.284054517746,1,,256,2,9,291,9,1.0997755934667703e-05,5.728911103779786e-06,922e64e1,-1.0,-1.0
1334,0.6103286384976526,1697565239,False,1,d5e7da45,2023-10-17_17-53-59,2044.3137061595917,2044.3137061595917,5074,ff5996df3739,172.17.0.2,2044.3137061595917,1,,256,2,10,302,23,1.5304721859865104e-05,3.330627712760221e-06,d5e7da45,,
1335,0.6011737089201878,1697565822,False,1,16b6092e,2023-10-17_18-03-42,2601.1632256507874,2601.1632256507874,3666,ff5996df3739,172.17.0.2,2601.1632256507874,1,,256,2,12,274,28,1.1459318735805934e-05,3.6763995653363573e-06,16b6092e,,
1336,0.5685446009389672,1697566335,True,1,aace3e44,2023-10-17_18-12-15,2561.195119380951,2561.195119380951,5614,ff5996df3739,172.17.0.2,2561.195119380951,1,,256,2,12,224,40,1.0116713387166073e-05,3.91426566456303e-06,aace3e44,,
1337,0.5915492957746479,1697566751,False,1,07c10fb0,2023-10-17_18-19-11,2295.5401854515076,2295.5401854515076,5406,ff5996df3739,172.17.0.2,2295.5401854515076,1,,256,2,10,311,35,1.1552425938712752e-05,4.135919316071926e-06,07c10fb0,,
1338,0.5314553990610329,1697567906,True,1,e5bcda6f,2023-10-17_18-38-26,3424.231960773468,3424.231960773468,4734,ff5996df3739,172.17.0.2,3424.231960773468,1,,256,2,8,285,5,2.1083359287756235e-05,4.449842879861964e-06,e5bcda6f,,
1339,0.5537558685446009,1697566379,True,1,1008c40a,2023-10-17_18-12-59,1351.1312189102173,1351.1312189102173,4067,ff5996df3739,172.17.0.2,1351.1312189102173,1,,256,2,7,320,16,1.3611032521827051e-05,4.770158692938669e-06,1008c40a,,
1340,0.5730046948356807,1697567221,True,1,cb5dd14e,2023-10-17_18-27-01,2111.572735309601,2111.572735309601,5768,ff5996df3739,172.17.0.2,2111.572735309601,1,,256,2,11,253,20,1.3891221374646915e-05,2.7651075484744446e-06,cb5dd14e,,
1341,0.636150234741784,1697566435,False,1,c2a6a478,2023-10-17_18-13-55,1196.5208151340485,1196.5208151340485,5074,ff5996df3739,172.17.0.2,1196.5208151340485,1,,256,2,9,303,9,6.0635993781305767e-05,5.287161499407701e-06,c2a6a478,,
1342,0.6150234741784038,1697567472,False,1,a1e061c8,2023-10-17_18-31-12,2009.3760578632355,2009.3760578632355,8312,ff5996df3739,172.17.0.2,2009.3760578632355,1,,256,2,7,297,15,1.5254385590805741e-05,5.4793366105697845e-06,a1e061c8,-1.0,-1.0
1343,-0.1,1697568438,True,1,f6045634,2023-10-17_18-47-18,2967.1355826854706,2967.1355826854706,7136,ff5996df3739,172.17.0.2,2967.1355826854706,1,,256,2,10,193,28,1.684452858896186e-05,9.85867495094157e-06,f6045634,-1.0,
1344,0.5690140845070423,1697567778,True,1,8ea81541,2023-10-17_18-36-18,2020.3403630256653,2020.3403630256653,5364,ff5996df3739,172.17.0.2,2020.3403630256653,1,,256,2,10,230,41,2.0542020801830836e-05,3.54414216176001e-06,8ea81541,,
1345,0.5603286384976526,1697567643,True,1,eb56529c,2023-10-17_18-34-03,1820.5530116558075,1820.5530116558075,3666,ff5996df3739,172.17.0.2,1820.5530116558075,1,,256,2,10,236,37,1.9804282528925957e-05,3.2981550679568438e-06,eb56529c,,
1346,0.5586854460093896,1697569092,True,1,5c2c38d1,2023-10-17_18-58-12,2756.79719042778,2756.79719042778,5614,ff5996df3739,172.17.0.2,2756.79719042778,1,,256,2,10,239,32,1.907424770683478e-05,3.0051823814985847e-06,5c2c38d1,,
1347,0.5715962441314553,1697569633,True,1,fc27a685,2023-10-17_19-07-13,3253.8000824451447,3253.8000824451447,4067,ff5996df3739,172.17.0.2,3253.8000824451447,1,,256,2,10,242,44,1.7376188171882208e-05,2.542476737516092e-06,fc27a685,,
1348,0.5690140845070423,1697568688,True,1,bd902ab5,2023-10-17_18-51-28,2252.714292526245,2252.714292526245,5074,ff5996df3739,172.17.0.2,2252.714292526245,1,,256,2,10,201,37,1.5815675260632316e-05,3.975208620532276e-06,bd902ab5,,
1349,0.6133802816901409,1697568290,False,1,f45f8da6,2023-10-17_18-44-50,1539.2139780521393,1539.2139780521393,5406,ff5996df3739,172.17.0.2,1539.2139780521393,1,,256,2,9,213,25,1.762314743974387e-05,3.7369947415248833e-06,f45f8da6,,
1350,0.5605633802816902,1697569159,True,1,18f851b5,2023-10-17_18-59-19,1938.0624227523804,1938.0624227523804,5768,ff5996df3739,172.17.0.2,1938.0624227523804,1,,256,2,10,231,30,2.111736598472553e-05,3.5701926953926265e-06,18f851b5,,
1351,0.6103286384976526,1697570235,False,1,d22bb3e2,2023-10-17_19-17-15,2763.6239428520203,2763.6239428520203,8312,ff5996df3739,172.17.0.2,2763.6239428520203,1,,256,2,9,253,33,2.2025651958777217e-05,2.281302305360377e-06,d22bb3e2,-1.0,-1.0
1352,0.6009389671361502,1697569633,False,1,e6c63dc9,2023-10-17_19-07-13,1989.891382932663,1989.891382932663,3666,ff5996df3739,172.17.0.2,1989.891382932663,1,,256,2,10,218,40,2.2516889532644815e-05,4.019692651906929e-06,e6c63dc9,,
